idx,sec,blink_cnt
0,0,0
1,1,0
2,2,0
3,3,0
4,4,1
5,5,0
6,6,0
7,7,1
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,1
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,1
31,31,1
32,32,1
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,1
41,41,0
42,42,2
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,50,0
51,51,1
52,52,0
53,53,0
54,54,1
55,55,0
56,56,0
57,57,0
58,58,1
59,59,0
60,60,2
61,61,2
62,62,1
63,63,0
64,64,1
65,65,1
66,66,0
67,67,1
68,68,1
69,69,0
70,70,0
71,71,0
72,72,0
73,73,0
74,74,0
75,75,0
